epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1341.88,1.52354,0.80804,0.85278,0.13958,0.12418,0.04935,0.01201,4.04473,2.6701,1.31532,0.000660299,0.000660299,0.000660299
63,1363.12,1.53023,0.81825,0.85382,0.17634,0.20392,0.0935,0.02415,3.77987,2.44147,1.22578,0.000643795,0.000643795,0.000643795
64,1384.47,1.5228,0.8254,0.8524,0.40977,0.33638,0.33243,0.12731,2.89995,1.94524,1.05572,0.000627292,0.000627292,0.000627292
65,1406.24,1.51325,0.8073,0.8504,0.26769,0.22262,0.12852,0.04366,3.42766,3.15054,1.15562,0.000610789,0.000610789,0.000610789
66,1428.06,1.51594,0.80262,0.85193,0.81852,0.60228,0.6766,0.36659,1.50906,0.80443,0.84299,0.000594286,0.000594286,0.000594286
67,1450.14,1.50999,0.80053,0.85374,0.81065,0.47987,0.60124,0.2917,1.93261,1.01496,0.89199,0.000577782,0.000577782,0.000577782
68,1472.07,1.51551,0.79776,0.85223,0.24907,0.15935,0.10749,0.02824,3.7055,1.98803,1.24838,0.000561279,0.000561279,0.000561279
69,1493.55,1.4924,0.79114,0.84796,0.69321,0.38287,0.46648,0.20349,2.1812,1.6256,0.93965,0.000544776,0.000544776,0.000544776
70,1514.78,1.50042,0.79823,0.85139,0.20987,0.15553,0.08816,0.02432,3.69734,2.12666,1.26636,0.000528272,0.000528272,0.000528272
71,1536.11,1.49222,0.79337,0.84861,0.62283,0.39372,0.48886,0.22654,2.01284,1.46948,0.90486,0.000511769,0.000511769,0.000511769
72,1556.95,1.4704,0.77569,0.84604,0.33998,0.33981,0.29851,0.12338,2.38901,1.99416,0.98042,0.000495266,0.000495266,0.000495266
73,1578.58,1.48222,0.78512,0.84887,0.39092,0.26282,0.28763,0.12243,2.40392,1.9374,0.98148,0.000478762,0.000478762,0.000478762
74,1599.92,1.46953,0.77862,0.84991,0.74483,0.64292,0.67067,0.35713,1.53736,0.77303,0.84589,0.000462259,0.000462259,0.000462259
75,1620.71,1.46956,0.77871,0.84877,0.16033,0.11076,0.04735,0.00976,4.09933,2.14121,1.37103,0.000445756,0.000445756,0.000445756
76,1642.07,1.46733,0.77972,0.84665,0.71824,0.54384,0.61842,0.33838,1.60443,0.92593,0.85455,0.000429253,0.000429253,0.000429253
77,1662.8,1.47821,0.78177,0.84697,0.29261,0.1516,0.11156,0.03179,3.73017,2.07932,1.27905,0.000412749,0.000412749,0.000412749
78,1684.18,1.4685,0.77367,0.84936,0.22969,0.16291,0.09403,0.0255,3.72415,2.19445,1.26342,0.000396246,0.000396246,0.000396246
79,1705.74,1.45718,0.77733,0.84824,0.71958,0.32326,0.38592,0.14183,2.74063,1.43467,1.04108,0.000379743,0.000379743,0.000379743
80,1727.22,1.46722,0.77842,0.84943,0.55038,0.37503,0.43304,0.20751,1.97832,1.65475,0.89741,0.000363239,0.000363239,0.000363239
81,1748.71,1.44425,0.76369,0.84553,0.5567,0.35163,0.40589,0.17119,2.23611,1.75568,0.94466,0.000346736,0.000346736,0.000346736
82,1770.37,1.45117,0.76153,0.84829,0.78082,0.63403,0.68158,0.35789,1.53708,0.78185,0.84619,0.000330233,0.000330233,0.000330233
83,1792.57,1.44974,0.76182,0.84672,0.19341,0.13029,0.0621,0.0138,4.0076,2.27894,1.36563,0.000313729,0.000313729,0.000313729
84,1813.74,1.45343,0.76899,0.845,0.3177,0.2228,0.13266,0.04121,3.43282,1.93082,1.2068,0.000297226,0.000297226,0.000297226
85,1835.21,1.43342,0.7526,0.84545,0.75152,0.35642,0.47817,0.23648,1.97196,1.51603,0.90334,0.000280723,0.000280723,0.000280723
86,1856,1.43714,0.75053,0.84583,0.70334,0.40232,0.50635,0.24712,1.99789,1.41731,0.90521,0.00026422,0.00026422,0.00026422
87,1877.09,1.44269,0.75697,0.84727,0.75723,0.5774,0.64866,0.30621,1.87751,0.88167,0.87826,0.000247716,0.000247716,0.000247716
88,1898.65,1.43073,0.75194,0.84305,0.75803,0.39137,0.49331,0.19858,2.43138,1.34687,0.96742,0.000231213,0.000231213,0.000231213
89,1919.58,1.43203,0.75098,0.84557,0.60371,0.5264,0.56501,0.23995,2.23961,1.14633,0.93233,0.00021471,0.00021471,0.00021471
90,1941.12,1.42036,0.74714,0.84334,0.79286,0.3824,0.46311,0.18091,2.49168,1.35735,0.97987,0.000198206,0.000198206,0.000198206
91,1980.59,1.38019,0.70293,0.85271,0.55154,0.34975,0.40076,0.17089,2.22776,1.70785,0.94657,0.000181703,0.000181703,0.000181703
92,2001.97,1.34489,0.67563,0.84813,0.55001,0.42633,0.46923,0.22738,1.91711,1.52873,0.8904,0.0001652,0.0001652,0.0001652
93,2022.8,1.32872,0.66432,0.84269,0.6442,0.47796,0.54102,0.26418,1.97655,1.28502,0.90249,0.000148696,0.000148696,0.000148696
94,2043.74,1.33064,0.65474,0.84334,0.73387,0.54406,0.61845,0.32075,1.73972,0.98229,0.86616,0.000132193,0.000132193,0.000132193
95,2064.8,1.3135,0.65706,0.8447,0.75361,0.61838,0.65841,0.32285,1.77095,0.84879,0.86699,0.00011569,0.00011569,0.00011569
96,2085.68,1.30541,0.65293,0.84577,0.78201,0.63314,0.69559,0.37274,1.51085,0.78096,0.84233,9.91865e-05,9.91865e-05,9.91865e-05
97,2107.6,1.3034,0.65404,0.84189,0.6821,0.54283,0.60396,0.31493,1.71164,1.01292,0.86218,8.26832e-05,8.26832e-05,8.26832e-05
98,2129.03,1.28858,0.6407,0.83961,0.5953,0.36584,0.40226,0.15066,2.68891,1.40009,1.03348,6.61799e-05,6.61799e-05,6.61799e-05
99,2150.83,1.28971,0.64311,0.84106,0.73833,0.62907,0.67401,0.36226,1.55407,0.84897,0.84587,4.96766e-05,4.96766e-05,4.96766e-05
100,2172.55,1.2901,0.63926,0.84122,0.80316,0.64534,0.69838,0.36475,1.57844,0.76939,0.84893,3.31733e-05,3.31733e-05,3.31733e-05
